,video_id,title_new,show,viewCount,likeCount,commentCount,publishedDay,durationSec
1,HvS2QUlj4tM,Friends with Benefits Featuring Uriel , Spill with Phyna SE01E03,41657.0,1943.0,365.0,Wednesday,1906.0
2,tspNqydxvGc,Living beyond your means Featuring Pere Egbi , Spill with Phyna SE01E02,92903.0,3381.0,503.0,Wednesday,2362.0
3,koEnlXeAkmw,Detty December & IJGB FT Madame Joyce S1E10 , Bahd and Boujee Podcast,21317.0,691.0,74.0,Friday,3021.0
4,gNUkkLjiFP8,Entitlement Featuring Erigga , Spill with Phyna SE01E01,54752.0,2714.0,515.0,Wednesday,3287.0
5,IFwZM7TkAz8,The Christmas Special FT AliBaba ( Season 4 Finale ) , The Honest bunch Podcast.,282601.0,4254.0,549.0,Monday,10089.0
6,Rj0vw3kb1QQ,Meet our new sponsor “ AFRIPRIZE” , The Honest Bunch Podcast,6399.0,142.0,8.0,Sunday,626.0
7,RCl6UZpQG08,Dealing with Trolls featuring Frank Edoho  S1Ep10 , Bahd and Boujee Podcast,18281.0,399.0,50.0,Friday,3543.0
8,7mitJhSrHAM,2023 REVIEW   FT NKUBI  ,S4EPS017,60403.0,1016.0,164.0,Monday,4145.0
9,OKALSaXUNeA,Things I failed at to get here  S1Ep9 , Bahd and Boujee Podcast,12389.0,355.0,52.0,Friday,3249.0
10,TwJGaiiaOyc,THE SECOND COMING FT OLADIPS  ,S4EPS016,117346.0,2280.0,411.0,Monday,5394.0
11,CpSlP8gdDi8,Beauty Standards FT Khloe S1Ep8 , Bahd and Boujee Podcast,21338.0,470.0,442.0,Friday,3557.0
12,EouWHdukZbg,SECOND CHANCES & BOUNCING BACK FROM A FAILED MARRIAGE  FT SANDRA IHEUWA ,S4EPS015,121842.0,2056.0,651.0,Monday,7348.0
13,WD7t4i65tlg,Nollywood Vs Crowd Funding FT Daniel Etim Effiong S1Ep7 , Bahd and Boujee Podcast,22832.0,603.0,128.0,Friday,2899.0
14,_qmt_UeqSeE,SELF WORTH & INFERIORITY COMPLEX  FT HELEN PAUL ,S4EPS014,724721.0,22203.0,2656.0,Monday,9489.0
15,9bfedZVUZk0,SINGLE PARENTING  S1Ep6 , Bahd and Boujee Podcast,13068.0,371.0,46.0,Friday,3009.0
16,dubNafEkwa4,FAKE IT OR SAY IT  Ft. DOYIN , The Honest Bunch Podcast S4 EPS14,227643.0,3705.0,1101.0,Monday,4774.0
17,PdmbJrJEOkg,Let’s talk about sex baby!,,6229.0,316.0,20.0,Monday,42.0
18,DtQm32WeqPo,Pillow Talk S1Ep5 , Bahd and Boujee Podcast,16819.0,402.0,49.0,Friday,2290.0
19,LxMJiGCk-M4,Children learn what they see. Full episode on our channel,,8303.0,404.0,6.0,Thursday,61.0
20,BDwS70G_tVM,"ID Cabasa speaks on Burna Boy’s refusal to perform in dubia, because of smoking restrictions",,221131.0,7101.0,131.0,Thursday,61.0
21,_q7bHzuBOt0,Drug Abuse vs the Entertainment industry.,,8399.0,404.0,3.0,Thursday,61.0
22,BGFu0Mqa26A,Always be yourself. Check out full episode on our channel,,10854.0,596.0,17.0,Thursday,58.0
23,f5nW1tKs9Wk,DRUG ABUSE (ROLE OF THE ENTERTAINMENT INDUSTRY) FT ID CABASA & SEXY STEEL,,404798.0,9673.0,2205.0,Tuesday,7968.0
24,RhGA5jSpTDM,Table talk (what do you bring to the table )S1Ep4 , Bahd and Boujee Podcast,80376.0,1930.0,371.0,Friday,4460.0
25,sJ84QVwySqI,THE CONCEPT OF WIFE/HUSBAND MATERIAL FT PRIDE EVY ,S4EPS11,171409.0,3034.0,917.0,Monday,5785.0
26,bqH1ViQYnYI,Public figures  Vs Private Lives S1Ep3 , Bahd and Boujee Podcast,16921.0,480.0,38.0,Friday,2392.0
27,e3UjJmPKWyo,CHILDREN IN FAILED MARRIAGES FT KATHERINE OBIANG,,79750.0,1472.0,243.0,Monday,5367.0
28,sPtyYCn0tRk,Songs of nowadays do not represent us in a good light- Blackface,,15476.0,605.0,60.0,Tuesday,50.0
