video_id,title_new,show,viewCount,likeCount,commentCount,publishedDay,durationSec
654C9Xd8sys,Youth Inclusion & Active Participation In Governance Ft. Gbadebo Rhodes-Vivour & Okikiola Jalupon,,64680,1701,343,Monday,8132
ZKw74ab6lew,Living As A Single Lady In Your 30S , Bahd And Boujee Podcast - S2Eps1,17571,346,48,Friday,3868
vg3SvNlBc_w,Building Wealth Featuring Dr. Olumide Emmanuel  ,S5EP06,304957,8992,1928,Monday,5541
Gsa4x--3ono,Bullying Featuring Seyi Law  , S5EP05,215742,2705,824,Monday,7945
FjbzCWdDiKY,Worst Valentine Experience Featuring Khaid , Spill with Phyna SE01E07,26454,1227,182,Wednesday,3339
DrrhPN6QRyc,The Jaga Jaga Prophet  Ft Eedris Abdukareem  ,S5EP04,421763,8395,2448,Monday,7187
c3Ku9luFnHs,The Science Of Relationship ( Valentine Special)  Ft Harrison Titto , S5EP03,182443,3494,448,Monday,7216
fbdzNZVsA7o,Should Comedians Be Doing Music?  Featuring Carter Efe , Spill with Phyna SE01E06,30708,1055,106,Wednesday,2411
#NAME?,Unmasking Your Identity  (The Story Of Charley Boy) Ft Charley Boy ,S5EP02,378562,6765,902,Monday,6037
EAVz6uZWErE,Dress The Way You Want To Be Addressed Featuring Ashmusy , Spill with Phyna SE01E05,36541,1282,136,Wednesday,2108
yx3lGmn2X8Q,Fake News & The Truth  Ft Baba Tee ,S5EP01,221703,2951,545,Monday,8179
buMwzORQTcw,The Theory Of Polygamy Featuring Tacha , Spill with Phyna SE01E05,39081,1461,276,Wednesday,4287
SSCX7JzKlzY,Why Did You Stop Going To Church? Featuring Seun Kuti, Spill with Phyna SE01E04,107184,2329,436,Wednesday,3335
HvS2QUlj4tM,Friends With Benefits Featuring Uriel , Spill with Phyna SE01E03,56093,2285,389,Wednesday,1906
tspNqydxvGc,Living Beyond Your Means Featuring Pere Egbi , Spill with Phyna SE01E02,107911,3604,521,Wednesday,2362
koEnlXeAkmw,Detty December & Ijgb Ft Madame Joyce S1E10 , Bahd and Boujee Podcast,26852,836,82,Friday,3021
gNUkkLjiFP8,Entitlement Featuring Erigga , Spill with Phyna SE01E01,67300,3081,563,Wednesday,3287
IFwZM7TkAz8,The Christmas Special Ft Alibaba ( Season 4 Finale ) , The Honest bunch Podcast.,382893,4726,582,Monday,10089
Rj0vw3kb1QQ,Meet Our New Sponsor “ Afriprize” , The Honest Bunch Podcast,6910,151,8,Sunday,626
RCl6UZpQG08,Dealing With Trolls Featuring Frank Edoho  S1Ep10 , Bahd and Boujee Podcast,19875,425,52,Friday,3543
7mitJhSrHAM,2023 Review   Ft Nkubi  ,S4EPS017,66093,1078,173,Monday,4145
OKALSaXUNeA,Things I Failed At To Get Here  S1Ep9 , Bahd and Boujee Podcast,13266,370,54,Friday,3249
TwJGaiiaOyc,The Second Coming Ft Oladips  ,S4EPS016,122641,2340,417,Monday,5394
CpSlP8gdDi8,Beauty Standards Ft Khloe S1Ep8 , Bahd and Boujee Podcast,22846,481,455,Friday,3557
EouWHdukZbg,Second Chances & Bouncing Back From A Failed Marriage  Ft Sandra Iheuwa ,S4EPS015,126702,2105,657,Monday,7348
WD7t4i65tlg,Nollywood Vs Crowd Funding Ft Daniel Etim Effiong S1Ep7 , Bahd and Boujee Podcast,24344,643,130,Friday,2899
_qmt_UeqSeE,Self Worth & Inferiority Complex  Ft Helen Paul ,S4EPS014,759666,22534,2691,Monday,9489
9bfedZVUZk0,Single Parenting  S1Ep6 , Bahd and Boujee Podcast,13545,384,48,Friday,3009
dubNafEkwa4,Fake It Or Say It  Ft. Doyin , The Honest Bunch Podcast S4 EPS14,235825,3788,1115,Monday,4774
DtQm32WeqPo,Pillow Talk S1Ep5 , Bahd and Boujee Podcast,17450,412,51,Friday,2290
f5nW1tKs9Wk,Drug Abuse (Role Of The Entertainment Industry) Ft Id Cabasa & Sexy Steel,,428467,9934,2229,Tuesday,7968
RhGA5jSpTDM,Table Talk (What Do You Bring To The Table )S1Ep4 , Bahd and Boujee Podcast,82823,1964,376,Friday,4460
sJ84QVwySqI,The Concept Of Wife/Husband Material Ft Pride Evy ,S4EPS11,176129,3077,923,Monday,5785
bqH1ViQYnYI,Public Figures  Vs Private Lives S1Ep3 , Bahd and Boujee Podcast,17360,485,38,Friday,2392
e3UjJmPKWyo,Children In Failed Marriages Ft Katherine Obiang,,81710,1488,245,Monday,5367
Xw5cO5wuuuM,Many Sides To The Truth Ft Blackface , S4 EPS10,254637,4922,2881,Monday,5946
PB7SZrsFC2s,Friend Theft S1Ep2 , Bahd and Boujee Podcast,24388,864,90,Friday,2551
lBzseoYJORI,Nigeria Music Industry: A Founder'S Perspective Ft Dayo D1 Adeneye,,239809,3696,800,Monday,7220
KemtBfm6pCA,To Be Honest Bbn All-Star Review Finale Ft Adekunle & Pere,,55159,1154,346,Sunday,2672
oEbP5vaVyjE,Boundaries In Relationships S1Ep1 , Bahd and Boujee Podcast,36599,1124,161,Friday,3778
J3TD4I1Ktt4,Old Vs New Nollywood  Ft Charles Inojie , S4 EPS09,242577,4044,559,Monday,7445
ZvBmMN2rFGo,The Nigerian Dream: An Illusion Or A Reality? Feat.Liborous Oshoma & Chief Ochuko Derek ,S4EPS08,108125,1572,365,Monday,7734
Ajnq6AT2d1M,To Be Honest Bbn All-Star Review Wk 9 Ft Angel & Soma,,68882,1597,208,Friday,2037
l72NB14r2jI,Why Is The Business Of Music Dark? Ft K- Solo & Seun Kuti ,S4EPS07,439912,7156,1307,Monday,8220
gP-r8lAX00s,To Be Honest Bbn All-Star Review Wk 8 Ft Alex & White Money,,61511,1043,650,Saturday,3558
MWrqoijrUwk,Must You Be Friends With Your Partner'S Friends? Ft Chiamax & Oy  , S4 EPS06,159132,3621,450,Monday,5769
FoSOkzVIzoc,To Be Honest Bbn All Star Review Wk 8 Ft Doyin,,36959,960,253,Friday,2916
X11U2whPIDo,The Cost Of Clout-Chasing  Ft Mandy Kiss , S4 EPS05,307545,6308,1353,Monday,5358
sl24tNVfe0U,To Be Honest , BBN All-Stars Review Week 7,20215,448,99,Friday,3946
-c1aiJYI7zQ,Social Media Pressure Ft Destalker , S4 EPS04,755794,19674,3668,Monday,6038
rXN8srTrvTo,Match Making Or Hookup Featuring Lege Miami , S4 EPS03,216601,2707,420,Monday,4919
jdBu9Nplwxk,To Be Honest , BBN All-Stars Review Week 5,6734,190,29,Saturday,2848
jj94qPV774w,Do Celebrities Owe Their Fans A Decent Lifestyle ? Featuring Spyro , S4 EPS02,116140,2815,609,Monday,4641
5Wd_rgzP01I,To Be Honest , BBN All-Stars Review Week 4 ft Uriel,31384,643,65,Friday,2253
nwZ_ens7haI,Dealing With Success Featuring Portable , S4 EPS01,986016,24141,3709,Monday,5786
-Z-7wyIuH7M,To Be Honest , BBN All-Stars Review Week 3 ft Chizzy,13618,380,63,Friday,3102
pXfIqNmfWrY,To Be Honest , BBN All-Stars Review Week 2,6723,199,20,Friday,2706
XJ7KIxtBteA,To Be Honest , BBN All-Stars Week 1 Review,9099,324,43,Friday,1793
cYcbnnBr6QI,"The ""Lol"" Special Ft I Go Save ", The Honest Bunch podcast,95449,1792,139,Thursday,3447
9MqHTjwgjCk,"Wizkid And The Recording Academy, Yvonne Nelson, Nigerian Men And So Much More On #Thebreakdown",,5519,182,21,Sunday,903
zNhxe5ovY2Y,Redefining Careers In Nigeria Ft Gamic , S3 EPS22,59141,1192,276,Monday,4152
gNHXESxPZTI,The Celebrity Lifestyle Featuring Speed Darlington , S3 EPS21,337571,8302,2664,Monday,6101
8tFKeP7AJrI,"Davido'S Flies In Maybach, Portable'S Welcomes 5Th Child, And More On The Breakdown With N6 ", S1Ep3,2817,129,9,Sunday,846
KYdFJ5ffbmM,Friendship Entitlements  , EP20 Olivia Okoro BBTitians,71311,1698,559,Monday,4993
jFkUZDD-Pw4,"Bullying Ft Dan Dizzy - The Rants, Bants, And Confessions Podcast ", S1E5,112771,3011,1297,Thursday,4435
uu2ammTYQtQ,Ideas And Intellectual Theft Ft Teddy A , S3 EPS19,92263,2008,587,Monday,5169
VpUx9wCr6w0,"Emdee Tiamiyu'S Bbc Interview, Seun Kuti Has Been Released And More On The Breakdown With N6 ", S1Ep2,2495,132,9,Saturday,899
8CBKHwxqbkI,Age Difference In Relationships , S3 EPS18,119021,3012,809,Monday,4446
9Q0uqGfpUNw,"Luxury Living (Living Above Your Means)  - The Rants, Bants, And Confessions Podcast ", S1E4,92185,2014,937,Thursday,3511
MlBZiJNfMqM,Relationships In The 21St Century (Gender Roles) Featuring Dj Big N , S3 EPS17,123007,2285,518,Monday,5126
